Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dorian Baxter,Kevin Bordian,Leslie Bory,Paolo Fabrizio,Julian Fantino,Tony Genco,Brian Jedan,Claudia Rodriguez-Larrain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 16","Vaughan",0,7,1,1,53,58,0,2,1,123,475
35096,"Vaughan/Vaughan"," 17","Vaughan",3,7,1,0,100,55,0,1,0,167,613
35096,"Vaughan/Vaughan"," 18","Vaughan",0,4,0,1,35,55,0,1,0,96,397
35096,"Vaughan/Vaughan"," 19","Vaughan",0,1,2,0,53,49,0,3,0,108,412
35096,"Vaughan/Vaughan"," 20","Vaughan",1,1,2,1,90,83,0,1,0,179,532
35096,"Vaughan/Vaughan"," 21","Vaughan",0,1,0,1,80,58,0,6,0,146,539
35096,"Vaughan/Vaughan"," 22","Vaughan",0,3,1,0,81,94,1,0,1,181,514
35096,"Vaughan/Vaughan"," 23","Vaughan",2,4,0,1,32,50,0,3,1,93,387
35096,"Vaughan/Vaughan"," 24","Vaughan",1,2,0,0,31,48,0,3,0,85,459
35096,"Vaughan/Vaughan"," 25","Vaughan",0,4,1,0,40,67,0,2,1,115,452
35096,"Vaughan/Vaughan"," 26","Vaughan",0,4,2,0,38,44,1,3,0,92,415
35096,"Vaughan/Vaughan"," 27","Vaughan",0,0,0,1,30,54,0,2,0,87,324
35096,"Vaughan/Vaughan"," 28","Vaughan",1,3,0,0,58,65,0,3,0,130,490
35096,"Vaughan/Vaughan"," 29","Vaughan",0,0,0,1,65,55,0,3,0,124,426
35096,"Vaughan/Vaughan"," 30","Vaughan",0,8,0,2,59,63,0,1,0,133,467
35096,"Vaughan/Vaughan"," 31","Vaughan",2,4,1,0,96,77,0,3,1,184,541
35096,"Vaughan/Vaughan"," 32","Vaughan",0,2,0,0,48,47,1,1,0,99,383
35096,"Vaughan/Vaughan"," 33","Vaughan",0,3,0,0,53,40,0,2,0,98,409
35096,"Vaughan/Vaughan"," 34","Vaughan",0,6,0,0,47,70,0,4,1,128,492
35096,"Vaughan/Vaughan"," 35","Vaughan",0,3,1,0,74,82,0,10,1,171,470
35096,"Vaughan/Vaughan"," 36","Vaughan",1,8,0,2,94,83,1,1,0,190,469
35096,"Vaughan/Vaughan"," 37","Vaughan",0,0,0,4,89,67,2,0,0,162,547
35096,"Vaughan/Vaughan"," 38","Vaughan",0,2,1,0,58,85,0,2,1,149,450
35096,"Vaughan/Vaughan"," 39","Vaughan",0,1,0,0,98,62,1,1,1,164,398
35096,"Vaughan/Vaughan"," 40","Vaughan",0,0,0,1,1,147,0,1,1,151,470
35096,"Vaughan/Vaughan"," 41","Vaughan",0,1,0,3,10,167,0,2,0,183,597
35096,"Vaughan/Vaughan"," 42","Vaughan",0,0,0,1,21,78,0,0,1,101,349
35096,"Vaughan/Vaughan"," 43","Vaughan",0,2,0,0,24,52,0,0,0,78,393
35096,"Vaughan/Vaughan"," 44","Vaughan",0,3,0,0,28,68,0,3,3,105,564
35096,"Vaughan/Vaughan"," 45","Vaughan",0,4,0,1,44,53,0,2,0,104,456
35096,"Vaughan/Vaughan"," 46","Vaughan",0,3,0,1,35,49,0,1,2,91,385
35096,"Vaughan/Vaughan"," 47","Vaughan",1,4,0,1,39,61,0,4,2,112,483
35096,"Vaughan/Vaughan"," 48","Vaughan",0,0,0,1,33,61,1,1,1,98,450
35096,"Vaughan/Vaughan"," 49","Vaughan",0,23,1,2,37,61,0,3,0,127,528
35096,"Vaughan/Vaughan"," 50","Vaughan",1,4,0,0,22,66,0,0,0,93,388
