Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Kevin Clarke,Trevor Ellis,Elizabeth Ying Long,Shahbaz Mir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",50,1,36,11,0,2,100,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",78,2,14,14,2,1,111,442
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",70,0,14,6,1,2,93,341
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127A","Scarborough",56,0,22,10,0,0,88,882
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127B","Scarborough",40,0,17,8,1,0,66,671
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 127-1","Scarborough",61,3,29,8,2,0,103,338
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 128","Scarborough",18,0,6,9,0,0,33,235
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 129","Scarborough",46,1,16,5,1,2,71,412
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 130","Scarborough",52,2,37,17,1,3,112,376
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 131","Scarborough",83,1,20,10,2,1,117,447
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 132","Scarborough",68,0,27,12,0,2,109,384
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 133","Scarborough",81,0,21,12,1,3,118,420
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 134","Scarborough",61,0,25,10,1,1,98,451
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 135","Scarborough",49,1,26,4,0,0,80,407
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 136","Scarborough",36,2,24,11,1,0,74,407
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 137","Scarborough",74,3,23,5,0,0,105,424
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 138","Scarborough",36,2,24,6,3,1,72,397
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 139","Scarborough",45,3,27,6,0,0,81,387
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 140","Scarborough",64,1,49,8,0,4,126,458
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 141","Scarborough",38,4,23,4,1,0,70,400
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 142","Scarborough",40,1,18,5,0,0,64,382
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 143","Scarborough",57,0,21,11,4,0,93,414
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 144","Scarborough",65,1,31,12,2,2,113,503
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",67,4,31,12,1,0,115,486
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",73,6,36,12,1,2,130,483
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",57,2,34,10,3,1,107,512
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",25,1,11,9,0,3,49,321
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",65,1,96,13,4,0,179,555
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",55,1,33,5,2,0,96,348
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",56,1,41,3,0,1,102,414
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",61,0,26,13,3,0,103,288
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 409","Scarborough",30,1,16,5,0,0,52,361
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",Void/Supprimé,,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",45,0,11,5,1,0,62,361
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",47,1,20,2,1,0,71,330
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",26,1,18,13,1,0,59,267
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",80,1,84,16,2,0,183,466
