Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Ashmore,John Barlow,Aileen Burke,Dustin Fuller,David Reimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 161","Blood",0,1,0,2,0,0,3,108
48020,"Macleod/Macleod"," 162","Blood",15,0,1,25,0,0,41,911
48020,"Macleod/Macleod"," 163","Blood",Merged with No. 164/Fusionné avec le nº 164,,,,,,,183
48020,"Macleod/Macleod"," 164","Blood",0,0,2,17,0,0,19,374
48020,"Macleod/Macleod"," 165","Blood",0,0,3,20,0,0,23,469
48020,"Macleod/Macleod"," 500","Mobile poll/Bureau itinérant",4,31,4,4,0,2,45,40
48020,"Macleod/Macleod"," 501","Mobile poll/Bureau itinérant",1,30,2,2,2,3,40,101
48020,"Macleod/Macleod"," 502","Mobile poll/Bureau itinérant",7,42,6,7,4,1,67,16
48020,"Macleod/Macleod"," 503","Mobile poll/Bureau itinérant",0,12,4,1,0,0,17,116
48020,"Macleod/Macleod"," 504","Mobile poll/Bureau itinérant",2,31,0,7,4,0,44,112
48020,"Macleod/Macleod"," 505","Mobile poll/Bureau itinérant",2,21,4,7,0,3,37,72
48020,"Macleod/Macleod"," 506","Mobile poll/Bureau itinérant",4,56,2,15,2,0,79,72
48020,"Macleod/Macleod"," 507","Mobile poll/Bureau itinérant",2,23,0,3,2,1,31,93
48020,"Macleod/Macleod"," 508","Mobile poll/Bureau itinérant",0,22,3,0,3,1,29,35
48020,"Macleod/Macleod"," 600","Bragg Creek",9,64,8,16,2,0,99,
48020,"Macleod/Macleod"," 601","Black Diamond",23,120,6,32,1,0,182,
48020,"Macleod/Macleod"," 602","Okotoks",10,300,8,81,10,1,410,
48020,"Macleod/Macleod"," 603","High River",14,224,23,38,14,1,314,
48020,"Macleod/Macleod"," 604","Vulcan",2,129,5,15,0,1,152,
48020,"Macleod/Macleod"," 605","Blairmore",9,168,21,28,4,3,233,
48020,"Macleod/Macleod"," 606","Claresholm",10,148,9,26,8,1,202,
48020,"Macleod/Macleod"," 607","Pincher Creek",15,102,5,14,6,0,142,
48020,"Macleod/Macleod"," 608","Fort Macleod",8,61,8,27,16,2,122,
48020,"Macleod/Macleod"," 609","De Winton",3,140,11,19,1,0,174,
48020,"Macleod/Macleod"," 610","Springbank--Elbow Springs",6,154,1,26,3,0,190,
48020,"Macleod/Macleod"," 611","Okotoks",17,381,11,102,10,0,521,
48020,"Macleod/Macleod"," 612","High River",7,242,9,36,4,0,298,
48020,"Macleod/Macleod"," 613","Nanton",3,76,6,9,4,1,99,
48020,"Macleod/Macleod"," 614","Arrowwood",2,6,2,2,1,0,13,
48020,"Macleod/Macleod",,Group 1/Groupe 1,0,7,0,1,1,0,9,3
48020,"Macleod/Macleod",,Group 2/Groupe 2,16,267,7,80,7,0,377,
