Electoral District Number,Electoral District Name,Polling Station Number,Polling Station Name,Dorian Baxter,Leslie Bory,Kevin Clarke,John Deverell,Judi Falardeau,Chrystia Freeland,Linda McQuaig,Michael Nicula,Geoff Pollock,"John ""The Engineer"" Turmel",Bahman Yazdanfar,Rejected Ballots,Total Votes,Electors
35093,Toronto Centre,429,Toronto,1,0,3,4,5,56,47,0,9,0,0,1,126,297
35093,Toronto Centre, 429-1,Toronto,2,2,1,1,2,30,43,2,13,0,1,0,97,244
35093,Toronto Centre,430,Toronto,0,0,0,2,0,43,31,0,13,1,0,0,90,230
35093,Toronto Centre,431,Toronto,1,0,1,14,0,105,29,0,35,0,0,0,185,398
35093,Toronto Centre, 431-1,Toronto,3,0,0,5,4,138,42,0,42,1,0,1,236,442
35093,Toronto Centre,432,Toronto,2,0,0,0,0,28,22,0,7,0,0,2,61,229
35093,Toronto Centre,433,Toronto,0,0,0,7,0,18,25,0,2,0,0,0,52,110
35093,Toronto Centre,434,Toronto,1,0,0,2,0,21,44,0,6,0,0,1,75,246
35093,Toronto Centre,435,Toronto,3,0,0,5,2,60,43,0,10,0,0,2,125,238
35093,Toronto Centre,436,Toronto,2,0,1,5,1,50,45,0,4,0,0,0,108,270
35093,Toronto Centre,437,Toronto,0,0,0,0,1,70,49,0,3,0,0,0,123,451
35093,Toronto Centre,438,Toronto,4,0,0,11,0,128,112,0,17,0,0,0,272,533
35093,Toronto Centre,439,Toronto,2,0,0,7,1,121,63,0,4,0,0,0,198,330
35093,Toronto Centre,440,Toronto,1,0,1,1,1,23,47,1,2,1,0,1,79,398
35093,Toronto Centre,441,Toronto,0,0,0,2,0,39,26,0,8,0,0,0,75,343
35093,Toronto Centre,442,Toronto,4,0,0,2,1,67,45,0,6,0,0,0,125,281
35093,Toronto Centre,443,Toronto,4,0,0,3,1,39,24,1,9,0,0,0,81,203
35093,Toronto Centre, 443-1,Toronto,0,0,0,4,0,38,26,0,8,0,0,1,77,221
35093,Toronto Centre,444,Toronto,0,0,0,1,0,20,19,0,1,0,0,0,41,165
35093,Toronto Centre,445,Toronto,0,0,1,1,2,48,49,0,0,0,0,1,102,274
35093,Toronto Centre,446,Toronto,4,0,0,8,1,89,64,0,7,1,0,0,174,422
35093,Toronto Centre,447,Toronto,0,0,1,0,1,21,24,0,3,0,0,2,52,194
35093,Toronto Centre,448,Toronto,1,0,0,8,2,79,70,0,7,1,0,0,168,284
35093,Toronto Centre, 448-1,Toronto,1,0,0,4,2,66,63,0,6,0,0,1,143,248
35093,Toronto Centre,449,Toronto,0,0,0,2,0,23,16,0,7,0,0,0,48,125
35093,Toronto Centre,450,Toronto,2,0,0,2,0,28,24,0,7,1,0,0,64,160
35093,Toronto Centre,451,Toronto,3,0,0,2,0,50,56,0,2,1,0,0,114,274
35093,Toronto Centre,452,Toronto,2,0,0,3,2,38,32,1,1,0,1,0,80,273
35093,Toronto Centre,453,Toronto,0,0,0,6,1,56,38,1,17,0,0,1,120,233
35093,Toronto Centre, 453-1,Toronto,6,0,0,0,1,48,29,0,7,0,1,1,93,199
35093,Toronto Centre,454,Toronto,0,0,0,1,1,46,55,0,5,0,0,0,108,294
35093,Toronto Centre,455,Toronto,6,0,1,4,0,50,40,0,8,0,0,0,109,129
35093,Toronto Centre,456,Toronto,0,0,0,1,0,25,9,1,3,0,0,0,39,221
35093,Toronto Centre,457,Toronto,4,1,1,0,5,61,62,0,8,2,0,5,149,306
35093,Toronto Centre,458,Toronto,3,0,0,5,0,34,29,0,7,2,0,0,80,229
