Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Virginia Ervin,Grant Humes,Andrew Moriarity,Michael Nicula,Larry O'Connor,Erin O'Toole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 118-3","Clarington",5,12,0,0,40,39,0,96,458
35014,"Durham/Durham"," 119","Clarington",4,25,0,0,35,46,0,110,458
35014,"Durham/Durham"," 120","Clarington",8,27,3,0,55,79,2,174,533
35014,"Durham/Durham"," 121","Clarington",6,24,6,1,61,73,0,171,480
35014,"Durham/Durham"," 122","Clarington",4,24,3,1,70,75,1,178,484
35014,"Durham/Durham"," 123","Clarington",12,22,5,1,44,72,0,156,434
35014,"Durham/Durham"," 124","Clarington",Void/Supprimé,,,,,,,,
35014,"Durham/Durham"," 125","Clarington",11,14,4,0,57,55,0,141,366
35014,"Durham/Durham"," 126","Clarington",4,30,1,0,26,93,1,155,415
35014,"Durham/Durham"," 127","Clarington",3,18,3,5,43,50,0,122,496
35014,"Durham/Durham"," 127-1","Clarington",1,26,0,2,52,75,2,158,591
35014,"Durham/Durham"," 128","Clarington",2,14,2,0,31,30,0,79,455
35014,"Durham/Durham"," 128-1","Clarington",2,14,0,0,22,32,1,71,302
35014,"Durham/Durham"," 129","Clarington",3,19,5,2,34,65,0,128,429
35014,"Durham/Durham"," 129-1","Clarington",Merged with No. 161/Fusionné avec le nº 161,,,,,,,,181
35014,"Durham/Durham"," 130","Clarington",5,25,0,4,45,60,0,139,442
35014,"Durham/Durham"," 131","Clarington",2,14,0,1,24,47,0,88,369
35014,"Durham/Durham"," 132","Clarington",9,17,0,0,42,68,0,136,537
35014,"Durham/Durham"," 133","Clarington",4,5,4,0,28,43,1,85,364
35014,"Durham/Durham"," 134","Clarington",6,19,0,1,48,67,0,141,394
35014,"Durham/Durham"," 135","Clarington",2,20,6,0,22,69,0,119,395
35014,"Durham/Durham"," 136","Clarington",9,8,0,1,49,63,1,131,433
35014,"Durham/Durham"," 137","Clarington",7,16,2,2,50,52,0,129,370
35014,"Durham/Durham"," 138","Clarington",4,17,1,0,67,60,0,149,434
35014,"Durham/Durham"," 139","Clarington",4,13,2,2,30,36,0,87,471
35014,"Durham/Durham"," 140","Clarington",6,16,0,0,50,64,0,136,447
35014,"Durham/Durham"," 140-1","Clarington",2,15,1,1,46,59,0,124,452
35014,"Durham/Durham"," 141","Clarington",5,22,2,0,25,55,0,109,497
35014,"Durham/Durham"," 141-1","Clarington",9,14,2,1,63,62,0,151,540
35014,"Durham/Durham"," 141-2","Clarington",6,9,0,0,55,33,0,103,502
35014,"Durham/Durham"," 142","Clarington",4,14,5,0,59,61,2,145,469
35014,"Durham/Durham"," 142-1","Clarington",4,21,3,0,40,62,1,131,494
35014,"Durham/Durham"," 143","Clarington",2,13,1,0,34,62,1,113,414
35014,"Durham/Durham"," 144","Clarington",4,20,0,1,62,52,0,139,467
35014,"Durham/Durham"," 145","Clarington",4,32,1,0,73,68,0,178,486
