Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diana Dilworth,Fin Donnelly,Rebecca Helps,Ken Beck Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,117,Coquitlam,31,30,4,12,0,77,256
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,118,Coquitlam,27,24,1,7,0,59,426
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,119,Coquitlam,22,16,1,8,0,47,270
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,120,Coquitlam,36,30,2,11,0,79,386
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,121,Coquitlam,12,26,2,7,0,47,398
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,122,Coquitlam,9,28,2,5,0,44,253
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,123,Coquitlam,11,27,2,7,0,47,379
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,124,Coquitlam,26,36,4,11,1,78,251
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,125,Coquitlam,46,44,5,12,0,107,366
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 126A,Coquitlam,16,45,0,11,0,72,281
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 126B,Coquitlam,23,44,1,11,0,79,305
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,127,Coquitlam,28,63,7,16,0,114,567
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,128,Coquitlam,51,73,2,24,1,151,509
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,129,Coquitlam,38,35,5,14,1,93,400
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,130,Coquitlam,22,56,5,7,0,90,387
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,131,Coquitlam,25,46,1,11,1,84,386
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,132,Coquitlam,31,53,5,9,0,98,436
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,133,Coquitlam,40,79,3,5,1,128,437
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 134A,Coquitlam,17,16,2,4,0,39,316
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 134B,Coquitlam,8,17,0,1,0,26,292
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,135,Coquitlam,18,62,3,9,0,92,502
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 135-1,Coquitlam,4,4,0,18,0,26,123
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 136A,Coquitlam,30,33,2,18,0,83,398
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 136B,Mobile poll/Bureau itinérant,Merged with No. 504/Fusionné avec le nº 504,,,,,,107
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,137,Coquitlam,30,74,2,18,0,124,469
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,138,Coquitlam,47,81,0,13,0,141,513
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,139,Coquitlam,24,31,3,4,0,62,371
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,140,Coquitlam,21,69,8,14,0,112,541
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,141,New Westminster,90,96,13,25,0,224,547
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,142,New Westminster,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,143,New Westminster,44,83,12,15,0,154,452
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,144,New Westminster,55,88,6,10,0,159,538
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,145,New Westminster,46,65,8,8,1,128,415
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,146,New Westminster,66,59,15,18,1,159,541
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 146-1,New Westminster,13,29,2,2,0,46,237
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,147,New Westminster,47,47,3,16,0,113,425
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,148,New Westminster,24,39,1,0,1,65,298
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,149,New Westminster,21,58,6,8,0,93,310
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,150,New Westminster,22,62,11,8,0,103,422
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,151,New Westminster,18,62,12,7,0,99,374
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,152,New Westminster,32,82,5,11,0,130,430
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,153,New Westminster,26,95,6,5,3,135,588
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,154,New Westminster,19,15,1,4,0,39,110
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,155,New Westminster,44,72,4,7,0,127,355
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,156,New Westminster,28,68,12,8,0,116,407
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,157,New Westminster,19,68,6,10,0,103,364
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 157-1,New Westminster,18,15,6,4,0,43,297
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,158,New Westminster,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,159,New Westminster,Void/Supprimé,,,,,,
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 160A,New Westminster,78,66,8,7,0,159,392
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 160B,New Westminster,59,54,5,14,0,132,333
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,161,New Westminster,72,56,4,10,0,142,338
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,162,New Westminster,46,57,3,10,0,116,358
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,163,New Westminster,57,85,8,10,4,164,567
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,164,New Westminster,41,66,8,8,1,124,435
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,165,New Westminster,61,116,7,14,1,199,522
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 166A,New Westminster,14,48,5,6,0,73,277
59017,New Westminster--Coquitlam/New Westminster--Coquitlam, 166B,New Westminster,15,41,4,9,0,69,298
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,167,New Westminster,37,116,18,17,0,188,486
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,168,New Westminster,49,101,9,14,0,173,431
59017,New Westminster--Coquitlam/New Westminster--Coquitlam,169,New Westminster,23,79,12,17,0,131,450
